Unicode UCSUR,Glyph,Hexadecimal,Name
F46F0,,0x0,Fu
F46F1,,0x1,Mi
F46F2,,0x2,Zu
F46F3,,0x3,Ki
F46F4,,0x4,Mu
F46F5,,0x5,Ra
F46F6,,0x6,Sa
F46F7,,0x7,Ku
F46F8,,0x8,Mo
F46F9,,0x9,Na
F46FA,,0xA,Ya
F46FB,,0xB,Ri
F46FC,,0xC,Ko
F46FD,,0xD,To
F46FE,,0xE,Ne
F46FF,,0xF,Shi
F46F1 + F46F0,,0x10,Te
